Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,Microsoft.AspNet.Mvc 5.2.3,,,,,"Microsoft.AspNet.Mvc, 5.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,Microsoft.AspNet.Razor 3.2.3,,,,,"Microsoft.AspNet.Razor, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,Microsoft.AspNet.WebPages 3.2.3,,,,,"Microsoft.AspNet.WebPages, 3.2.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\ContosoConf.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Feature.1000,Convert application initialization code from Global.asax.cs to .NET Core and clean up Global.asax.cs,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Global.asax.cs,,,,,,,,
Feature.0002,Routes registration via RouteCollection is not supported in .NET Core and needs to be converted to the route mappings on the application object,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Global.asax.cs,,,,,,,,
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,8,8,T:System.Web.Mvc.ActionResult,,,,,public ActionResult New(NewRegistrationForm form)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,24,16,T:System.Web.Mvc.ViewResult,,,,,"return View(""Error"", errorMessages);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,24,16,"M:System.Web.Mvc.Controller.View(System.String,System.Object)",,,,,"return View(""Error"", errorMessages);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,P:System.Web.Mvc.ModelError.ErrorMessage,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,T:System.Web.Mvc.ModelState,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,T:System.Web.Mvc.ModelErrorCollection,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,P:System.Web.Mvc.ModelState.Errors,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,T:System.Web.Mvc.ModelStateDictionary,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,21,16,P:System.Web.Mvc.Controller.ModelState,,,,,var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,17,16,T:System.Web.Mvc.RedirectResult,,,,,"return Redirect(""/registered.htm"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,17,16,M:System.Web.Mvc.Controller.Redirect(System.String),,,,,"return Redirect(""/registered.htm"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\RegistrationController.cs,15,12,T:System.Web.Mvc.ModelStateDictionary,,,,,"if (ModelState.IsValid)              {                  return Redirect(""/registered.htm"");              }              else              {                  var errorMessages = ModelState                      .SelectMany(s => s.Value.Errors)                      .Select(e => e.ErrorMessage);                  return View(""Error"", errorMessages);              }"
